2/10 22:04:13.428  COMBAT_LOG_VERSION,9,ADVANCED_LOG_ENABLED,1,BUILD_VERSION,1.13.3,PROJECT_ID,2
2/10 22:04:14.464  SPELL_CAST_SUCCESS,Player-4701-00991AF0,"Strykzer-Mograine",0x514,0x0,0000000000000000,nil,0x80000000,0x80000000,11340,"Instant Poison VI",0x1,Player-4701-00991AF0,0000000000000000,100,100,0,0,0,-1,0,0,0,-1.22,-80.41,0,4.0147,66
2/10 22:04:14.514  SPELL_AURA_APPLIED,Player-4701-00959578,"Cillitbang-Mograine",0x514,0x0,Pet-0-4446-1-54-9696-02002384D4,"Sparkle",0x1114,0x0,19900,"Fire Resistance Aura",0x2,BUFF
2/10 22:04:14.814  SPELL_CAST_START,Player-4701-00C2857F,"Catryne-Mograine",0x514,0x0,0000000000000000,nil,0x80000000,0x80000000,16138,"Sharpen Blade V",0x1
2/10 22:04:15.394  SPELL_CAST_SUCCESS,Player-4701-00A3F633,"Moocow-Mograine",0x514,0x0,Player-4701-009A42DA,"Jettesnell-Mograine",0x512,0x0,25782,"Greater Blessing of Might",0x2,Player-4701-00A3F633,0000000000000000,100,100,0,0,0,-1,0,0,0,-1.62,-84.58,0,3.7275,66
2/10 22:04:15.745  SPELL_AURA_APPLIED,Player-4701-00A3F633,"Moocow-Mograine",0x514,0x0,Player-4701-009A42DA,"Jettesnell-Mograine",0x512,0x0,25782,"Greater Blessing of Might",0x2,BUFF
2/10 22:04:15.745  SPELL_AURA_APPLIED,Player-4701-00A3F633,"Moocow-Mograine",0x514,0x0,Player-4701-00A642C2,"Puzzle-Mograine",0x514,0x0,25782,"Greater Blessing of Might",0x2,BUFF
2/10 22:04:15.745  SPELL_AURA_APPLIED,Player-4701-00A3F633,"Moocow-Mograine",0x514,0x0,Player-4701-009F38D9,"Garami-Mograine",0x514,0x0,25782,"Greater Blessing of Might",0x2,BUFF
2/10 22:04:15.745  SPELL_AURA_APPLIED,Player-4701-00A3F633,"Moocow-Mograine",0x514,0x0,Player-4701-00880D4E,"Toreen-Mograine",0x514,0x0,25782,"Greater Blessing of Might",0x2,BUFF
2/10 22:04:15.745  SPELL_AURA_APPLIED,Player-4701-00A3F633,"Moocow-Mograine",0x514,0x0,Player-4701-00C2857F,"Catryne-Mograine",0x514,0x0,25782,"Greater Blessing of Might",0x2,BUFF
2/10 22:04:15.754  ENVIRONMENTAL_DAMAGE,0000000000000000,nil,0x80000000,0x80000000,Player-4701-00F19EBB,"Eothor-Mograine",0x514,0x0,Player-4701-00F19EBB,0000000000000000,100,100,0,0,0,-1,0,0,0,8.62,-78.35,0,3.5733,63,Falling,1,1,0,1,0,0,0,nil,nil,nil
2/10 22:04:16.146  SPELL_AURA_APPLIED,Player-4701-00A3F633,"Moocow-Mograine",0x514,0x0,Player-4701-012FB28F,"Redcheat-Mograine",0x514,0x0,19900,"Fire Resistance Aura",0x2,BUFF
2/10 22:04:16.146  SPELL_AURA_APPLIED,Player-4701-00A3F633,"Moocow-Mograine",0x514,0x0,Player-4701-00991AF0,"Strykzer-Mograine",0x514,0x0,19900,"Fire Resistance Aura",0x2,BUFF
2/10 22:04:16.146  SPELL_AURA_APPLIED,Player-4701-00A3F633,"Moocow-Mograine",0x514,0x0,Player-4701-009D9BAD,"Petzq-Mograine",0x514,0x0,19900,"Fire Resistance Aura",0x2,BUFF
2/10 22:04:17.241  SPELL_CAST_SUCCESS,Player-4701-00A3F633,"Moocow-Mograine",0x514,0x0,Player-4701-012FB28F,"Redcheat-Mograine",0x514,0x0,25782,"Greater Blessing of Might",0x2,Player-4701-00A3F633,0000000000000000,100,100,0,0,0,-1,0,0,0,-1.62,-84.58,0,3.7275,66
2/10 22:04:17.370  SPELL_AURA_APPLIED,Player-4701-00A3F633,"Moocow-Mograine",0x514,0x0,Player-4701-012FB28F,"Redcheat-Mograine",0x514,0x0,25782,"Greater Blessing of Might",0x2,BUFF
2/10 22:04:17.370  SPELL_AURA_APPLIED,Player-4701-00A3F633,"Moocow-Mograine",0x514,0x0,Player-4701-00991AF0,"Strykzer-Mograine",0x514,0x0,25782,"Greater Blessing of Might",0x2,BUFF
2/10 22:04:17.820  SPELL_CAST_SUCCESS,Player-4701-00C2857F,"Catryne-Mograine",0x514,0x0,0000000000000000,nil,0x80000000,0x80000000,16138,"Sharpen Blade V",0x1,Player-4701-00C2857F,0000000000000000,100,100,0,0,0,-1,0,0,0,-4.75,-87.56,0,3.8956,62
2/10 22:04:18.746  SPELL_CAST_SUCCESS,Player-4701-00A3F633,"Moocow-Mograine",0x514,0x0,Player-4701-00ED0347,"Irradiance-Mograine",0x512,0x0,25894,"Greater Blessing of Wisdom",0x2,Player-4701-00A3F633,0000000000000000,100,100,0,0,0,-1,0,0,0,-1.62,-84.58,0,3.7275,66
